framework,tracker,status,input_kind,input_name,input_json,source_path,gt_mot,frames_dir,model_path,pred_mot,metrics_csv,metrics_json,sequence_name,num_frames,idf1,idp,idr,precision,recall,mota,motp,num_switches,num_false_positives,num_misses,mostly_tracked,mostly_lost,sequence_label,error
boxmot,boxmot_boosttrack,completed,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_boosttrack_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_boosttrack_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_boosttrack_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb,262,1.0,1.0,1.0,1.0,1.0,1.0,0.13634012940068196,0,0,0,1,0,sequence,
boxmot,boxmot_botsort,completed,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_botsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_botsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_botsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb,262,1.0,1.0,1.0,1.0,1.0,1.0,0.11113238471526869,0,0,0,1,0,sequence,
boxmot,boxmot_bytetrack,completed,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_bytetrack_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_bytetrack_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_bytetrack_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb,262,1.0,1.0,1.0,1.0,1.0,1.0,0.1496574487223266,0,0,0,1,0,sequence,
boxmot,boxmot_deepocsort,completed,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_deepocsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_deepocsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_deepocsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb,262,1.0,1.0,1.0,1.0,1.0,1.0,0.10284629886357502,0,0,0,1,0,sequence,
boxmot,boxmot_ocsort,completed,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_ocsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_ocsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_ocsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb,262,1.0,1.0,1.0,1.0,1.0,1.0,0.10284629886357502,0,0,0,1,0,sequence,
boxmot,boxmot_strongsort,completed,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_strongsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_strongsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\boxmot_strongsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb,262,0.9961685823754789,1.0,0.9923664122137404,1.0,0.9923664122137404,0.9923664122137404,0.10329323556655906,0,0,2,1,0,sequence,
deepsort,deepsort,skipped_missing_dependency,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_zed_rgb,reports\runs\tracker_suite\_weights\mars-small128.pb,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\deepsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\deepsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\deepsort_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb,,,,,,,,,,,,,,,Python package 'tensorflow' is not importable.
norfair,norfair,completed,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\norfair_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\norfair_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb_yolo11s2_detections\norfair_metrics.json,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label_zed_rgb,262,0.9864603481624759,1.0,0.9732824427480916,1.0,0.9732824427480916,0.9732824427480916,0.13223963468442276,0,0,7,1,0,sequence,
boxmot,boxmot_boosttrack,completed,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\in_straw_3pick_diff_st_10_24_2024_5_a_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections\boxmot_boosttrack_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections\boxmot_boosttrack_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections\boxmot_boosttrack_metrics.json,in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb,155,0.9498997995991983,0.9556451612903226,0.9442231075697212,0.9556451612903226,0.9442231075697212,0.900398406374502,0.16781364431769336,0,11,14,2,0,sequence,
boxmot,boxmot_botsort,completed,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\in_straw_3pick_diff_st_10_24_2024_5_a_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections\boxmot_botsort_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections\boxmot_botsort_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections\boxmot_botsort_metrics.json,in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb,155,0.9540918163672655,0.956,0.952191235059761,0.956,0.952191235059761,0.9083665338645418,0.1627662299126757,0,11,12,2,0,sequence,
boxmot,boxmot_bytetrack,completed,detections,yolo11s2,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\detections\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections.json,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\GTs_MOT\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb.txt,D:\AOC\datasets\aghri-val\in_straw_3pick_diff_st_10_24_2024_5_a_label\sensor_data\cam_zed_rgb,,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\runs\tracker_suite_zedrgb_all_trackers\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections\boxmot_bytetrack_tracks.txt,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections\boxmot_bytetrack_metrics.csv,D:\AOC\agri-human-dataset-benchmark\2d-tracking\reports\summary\tracker_suite_zedrgb_all_trackers\in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb_yolo11s2_detections\boxmot_bytetrack_metrics.json,in_straw_3pick_diff_st_10_24_2024_5_a_label_zed_rgb,155,0.8502994011976048,0.852,0.848605577689243,0.852,0.848605577689243,0.701195219123506,0.1489397010298599,0,37,38,1,0,sequence,
